Time, Temp(C), Humidity(%)  
15:09:32.565, 24.00, 38.00
15:09:35.794, 24.00, 38.00
15:09:39.023, 24.00, 38.00
15:09:42.244, 24.00, 38.00
15:09:45.453, 24.00, 38.00
15:09:48.719, 24.00, 38.00
15:09:51.933, 24.00, 38.00
15:09:55.148, 24.00, 38.00
15:09:58.374, 24.00, 38.00
15:10:01.640, 24.00, 38.00
15:10:04.868, 24.00, 38.00
15:10:08.093, 24.00, 38.00
15:10:11.314, 24.00, 38.00
15:10:14.543, 24.00, 38.00
15:10:17.770, 24.00, 38.00
15:10:20.991, 24.00, 38.00
15:10:24.216, 24.00, 38.00
15:10:27.439, 24.00, 38.00
15:10:30.713, 24.00, 38.00
15:10:33.932, 24.00, 38.00
15:10:37.157, 24.00, 38.00
15:10:40.377, 24.00, 38.00
15:10:43.596, 24.00, 38.00
15:10:46.826, 24.00, 38.00
15:10:50.054, 24.00, 38.00
15:10:53.277, 24.00, 38.00
15:10:56.548, 24.00, 38.00
15:10:59.772, 24.00, 38.00
15:11:03.011, 24.00, 38.00
15:11:06.195, 24.00, 38.00
15:11:09.433, 24.00, 38.00
15:11:12.669, 24.00, 38.00
15:11:15.920, 24.00, 38.00
15:11:19.124, 24.00, 38.00
15:11:22.356, 24.00, 38.00
15:11:25.594, 24.00, 38.00
15:11:28.825, 24.00, 38.00
15:11:32.060, 24.00, 38.00
15:11:35.297, 24.00, 38.00
15:11:38.495, 24.00, 38.00
15:11:41.733, 24.00, 38.00
15:11:44.982, 24.00, 38.00
15:11:48.223, 24.00, 38.00
15:11:51.418, 24.00, 38.00
15:11:54.645, 24.00, 38.00
15:11:57.873, 24.00, 38.00
15:12:01.110, 24.00, 38.00
15:12:04.332, 24.00, 38.00
15:12:07.600, 24.00, 38.00
15:12:10.825, 24.00, 38.00
15:12:14.049, 24.00, 38.00
15:12:17.271, 24.00, 38.00
15:12:20.486, 24.00, 38.00
15:12:23.757, 24.00, 38.00
15:12:26.941, 24.00, 38.00
15:12:30.212, 24.00, 38.00
15:12:33.431, 24.00, 38.00
15:12:36.651, 24.00, 38.00
15:12:39.875, 24.00, 38.00
15:12:43.106, 24.00, 38.00
15:12:46.323, 24.00, 38.00
15:12:49.594, 24.00, 38.00
15:12:52.820, 24.00, 38.00
15:12:56.048, 24.00, 38.00
15:12:59.274, 24.00, 38.00
15:13:02.496, 24.00, 38.00
15:13:05.727, 24.00, 38.00
15:13:08.953, 24.00, 38.00
15:13:12.178, 24.00, 38.00
15:13:15.402, 24.00, 38.00
15:13:18.631, 24.00, 38.00
15:13:21.857, 24.00, 38.00
15:13:25.123, 24.00, 38.00
15:13:28.344, 24.00, 38.00
15:13:31.569, 24.00, 38.00
15:13:34.798, 24.00, 38.00
15:13:38.020, 24.00, 38.00
15:13:41.244, 24.00, 38.00
15:13:44.468, 24.00, 38.00
15:13:47.693, 24.00, 38.00
15:13:50.961, 24.00, 38.00
15:13:54.189, 24.00, 38.00
15:13:57.409, 24.00, 38.00
15:14:00.627, 24.00, 38.00
15:14:03.863, 24.00, 38.00
15:14:07.108, 24.00, 38.00
15:14:10.303, 24.00, 38.00
15:14:13.554, 24.00, 38.00
15:14:16.781, 24.00, 38.00
15:14:20.001, 24.00, 38.00
15:14:23.225, 23.00, 38.00
15:14:26.494, 23.00, 38.00
15:14:29.715, 23.00, 38.00
15:14:32.940, 23.00, 38.00
15:14:36.168, 23.00, 38.00
15:14:39.391, 23.00, 38.00
15:14:42.626, 23.00, 38.00
15:14:45.852, 23.00, 38.00
15:14:49.074, 23.00, 38.00
15:14:52.300, 23.00, 38.00
15:14:55.528, 23.00, 38.00
15:14:58.760, 23.00, 38.00
15:15:02.028, 23.00, 38.00
15:15:05.257, 23.00, 38.00
15:15:08.481, 23.00, 38.00
15:15:11.707, 23.00, 38.00
15:15:14.922, 23.00, 38.00
15:15:18.160, 23.00, 38.00
15:15:21.373, 23.00, 38.00
15:15:24.600, 23.00, 38.00
15:15:27.830, 23.00, 38.00
15:15:31.058, 23.00, 38.00
15:15:34.324, 23.00, 38.00
15:15:37.552, 23.00, 38.00
15:15:40.780, 23.00, 38.00
15:15:44.008, 23.00, 38.00
15:15:47.248, 23.00, 38.00
15:15:50.465, 23.00, 38.00
15:15:53.683, 23.00, 38.00
15:15:56.908, 23.00, 38.00
15:16:00.126, 23.00, 38.00
15:16:03.398, 23.00, 38.00
15:16:06.621, 23.00, 38.00
15:16:09.841, 23.00, 38.00
15:16:13.074, 23.00, 38.00
15:16:16.303, 23.00, 38.00
15:16:19.531, 23.00, 38.00
15:16:22.759, 23.00, 38.00
15:16:25.985, 23.00, 38.00
15:16:29.212, 23.00, 38.00
15:16:32.433, 23.00, 38.00
15:16:35.668, 23.00, 38.00
15:16:38.895, 23.00, 38.00
15:16:42.155, 23.00, 38.00
15:16:45.377, 23.00, 38.00
15:16:48.604, 23.00, 38.00
15:16:51.832, 23.00, 38.00
15:16:55.059, 23.00, 38.00
15:16:58.284, 23.00, 38.00
15:17:01.511, 23.00, 38.00
15:17:04.736, 23.00, 38.00
15:17:07.962, 23.00, 38.00
15:17:11.189, 23.00, 38.00
15:17:14.414, 23.00, 38.00
15:17:17.685, 23.00, 38.00
15:17:20.905, 23.00, 38.00
15:17:24.129, 23.00, 38.00
15:17:27.354, 23.00, 38.00
15:17:30.579, 23.00, 38.00
15:17:33.803, 23.00, 38.00
15:17:37.029, 23.00, 38.00
15:17:40.295, 23.00, 38.00
15:17:43.515, 23.00, 38.00
15:17:46.743, 23.00, 38.00
15:17:49.968, 23.00, 38.00
15:17:53.188, 23.00, 38.00
15:17:56.423, 23.00, 38.00
15:17:59.649, 23.00, 38.00
15:18:02.879, 23.00, 38.00
15:18:06.103, 23.00, 38.00
15:18:09.326, 23.00, 38.00
15:18:12.552, 23.00, 38.00
15:18:15.819, 23.00, 38.00
15:18:19.042, 23.00, 38.00
15:18:22.263, 23.00, 38.00
15:18:25.482, 23.00, 38.00
15:18:28.707, 23.00, 38.00
15:18:31.935, 23.00, 38.00
15:18:35.206, 23.00, 38.00
15:18:38.431, 23.00, 38.00
15:18:41.654, 23.00, 38.00
15:18:44.878, 23.00, 38.00
15:18:48.097, 23.00, 38.00
15:18:51.324, 23.00, 38.00
15:18:54.548, 23.00, 38.00
15:18:57.807, 23.00, 38.00
15:19:01.025, 23.00, 38.00
15:19:04.246, 23.00, 38.00
15:19:07.469, 23.00, 38.00
15:19:10.733, 23.00, 38.00
15:19:13.964, 23.00, 38.00
15:19:17.189, 23.00, 38.00
15:19:20.408, 23.00, 38.00
15:19:23.636, 23.00, 38.00
15:19:26.857, 23.00, 38.00
15:19:30.090, 23.00, 38.00
